source_name,feed_url,site_domain,language,region_scope,permission_status,terms_url,notes
"Hindustan-Deoria","https://feed.livehindustan.com/rss/5047","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Sant Kabir Nagar","https://feed.livehindustan.com/rss/5050","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Aligarh","https://feed.livehindustan.com/rss/5035","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Mirzapur","https://feed.livehindustan.com/rss/5044","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Kanpur","https://feed.livehindustan.com/rss/5034","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Prayagraj","https://feed.livehindustan.com/rss/11373","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Shamli","https://feed.livehindustan.com/rss/1237906","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bagpat","https://feed.livehindustan.com/rss/5052","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bijnor","https://feed.livehindustan.com/rss/5053","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Muzaffar Nagar","https://feed.livehindustan.com/rss/5057","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Fatehpur","https://feed.livehindustan.com/rss/896272","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Gauriganj","https://feed.livehindustan.com/rss/1237908","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Badaun","https://feed.livehindustan.com/rss/5061","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Hapur","https://feed.livehindustan.com/rss/5056","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Shahjahanpur","https://feed.livehindustan.com/rss/5064","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bahraich","https://feed.livehindustan.com/rss/5072","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Raebareli","https://feed.livehindustan.com/rss/5075","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Pilibhit","https://feed.livehindustan.com/rss/5063","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Saharanpur","https://feed.livehindustan.com/rss/5058","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Gonda","https://feed.livehindustan.com/rss/5074","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Shravasti","https://feed.livehindustan.com/rss/1237909","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Mainpuri","https://feed.livehindustan.com/rss/5067","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Faizabad","https://feed.livehindustan.com/rss/5073","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Mathura","https://feed.livehindustan.com/rss/5068","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Firozabad","https://feed.livehindustan.com/rss/5066","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Amethi","https://feed.livehindustan.com/rss/1237907","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Lakhimpur Kheri","https://feed.livehindustan.com/rss/5062","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Etah","https://feed.livehindustan.com/rss/5065","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bulandshahr","https://feed.livehindustan.com/rss/5054","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Balrampur","https://feed.livehindustan.com/rss/5070","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Ambedkar Nagar","https://feed.livehindustan.com/rss/5069","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Sitapur","https://feed.livehindustan.com/rss/5076","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Billhor","https://feed.livehindustan.com/rss/1237931","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Auraiya","https://feed.livehindustan.com/rss/5078","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Sultanpur","https://feed.livehindustan.com/rss/5077","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Chitrakoot","https://feed.livehindustan.com/rss/1238035","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Mahoba","https://feed.livehindustan.com/rss/1238011","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Hamirpur","https://feed.livehindustan.com/rss/5082","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Banda","https://feed.livehindustan.com/rss/5079","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Kanpur Rural","https://feed.livehindustan.com/rss/1238022","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Jhansi","https://feed.livehindustan.com/rss/5084","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Akbarpur","https://feed.livehindustan.com/rss/1237918","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Gangapar","https://feed.livehindustan.com/rss/1238042","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Hathras","https://feed.livehindustan.com/rss/5088","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Etawah","https://feed.livehindustan.com/rss/5080","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Hardoi","https://feed.livehindustan.com/rss/5083","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Kannauj","https://feed.livehindustan.com/rss/896320","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Sambhal","https://feed.livehindustan.com/rss/5092","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Farrukhabad","https://feed.livehindustan.com/rss/5081","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Rampur","https://feed.livehindustan.com/rss/5091","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Unnao","https://feed.livehindustan.com/rss/5087","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Orai","https://feed.livehindustan.com/rss/5085","feed.livehindustan.com","Hindi","AC","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Pratapgarh - Kunda","https://feed.livehindustan.com/rss/1238044","feed.livehindustan.com","Hindi","AC","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Amroha","https://feed.livehindustan.com/rss/5090","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Kaushambi","https://feed.livehindustan.com/rss/1238043","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Lalitpur","https://feed.livehindustan.com/rss/1238008","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Patrika Fatehpur","https://cms.patrika.com/blog/location/fatehpur-news/feed/","cms.patrika.com","Hindi","District","OK","https://www.patrika.com/terms","No restrictive language found"
"Patrika Mainpuri","https://cms.patrika.com/blog/location/mainpuri-news/feed/","cms.patrika.com","Hindi","District","OK","https://www.patrika.com/terms","No restrictive language found"
"Patrika Agra","https://cms.patrika.com/blog/location/agra-news/feed/","cms.patrika.com","Hindi","District","OK","https://www.patrika.com/terms","No restrictive language found"
"Patrika Uttar Pradesh","https://cms.patrika.com/blog/location/uttar-pradesh-news/feed/","cms.patrika.com","Hindi","State","OK","https://www.patrika.com/terms","No restrictive language found"
